case_id,article_id,context
sc_2017_Pawan_Kumar_vs_State_Of_H_P_on_28_April_2017_1,CONST_1950_Art21, Constitution as a man does. The right to live with dignity as guaranteed under Article 21 of the Constitution cannot be violated by indulging in obnoxious act of eve- te
sc_2017_Pawan_Kumar_vs_State_Of_H_P_on_28_April_2017_1,CONST_1950_Art15, apart it creates an incurable dent in the right of a woman which she has under Article 15 of the Constitution. One is compelled to think and constrained to deliberate wh
sc_2017_Power_Machines_India_Limited_vs_State_Of_Mahdya_Pradesh_Ors_on_17_April_2017_1,CONST_1950_Art36,14 of the Constitution of India and is repugnant to the provisions contained in section 36 of the Act of 1996 read with the provisions contained in section 18 of the Act 
sc_2017_Power_Machines_India_Limited_vs_State_Of_Mahdya_Pradesh_Ors_on_17_April_2017_1,CONST_1950_Art18,ontained in section 36 of the Act of 1996 read with the provisions contained in section 18 of the Act of 2006. It is beyond rule making power conferred under sections 21 
sc_2017_Power_Machines_India_Limited_vs_State_Of_Mahdya_Pradesh_Ors_on_17_April_2017_1,CONST_1950_Art14,"presenting the appellant that Rule 5 is ultra vires, arbitrary and violative of Article 14 of the Constitution of India and is repugnant to the provisions contained in se"
sc_2017_Power_Machines_India_Limited_vs_State_Of_Mahdya_Pradesh_Ors_on_17_April_2017_1,CONST_1950_Art245,f delegation is a constituent element of the legislative power as a whole under Article 245 of the Constitution and other relative Articles and when the Legislatures enact
sc_2017_R_K_Barwal_vs_The_State_Of_Himachal_Pradesh_on_25_August_2017_1,CONST_1950_Art309,"reamble No. 11-76/71-GA-A—In exercise of the powers conferred by the proviso to Article 309 of the Constitution of India, and all other powers enabling him in this behalf,"
sc_2017_R_K_Barwal_vs_The_State_Of_Himachal_Pradesh_on_25_August_2017_1,CONST_1950_Art209,"Normally, such classification should be by statutory rule or rules framed under Article 209 of the Constitution. The far-reaching implication of such Rules need not be imp"
sc_2017_R_K_Barwal_vs_The_State_Of_Himachal_Pradesh_on_25_August_2017_1,CONST_1950_Art14,ble limits is concerned that is permitted and does not offend the provisions of Article 14 of the Constitution. There is an intelligible differentia having nexus with the
sc_2017_R_K_Barwal_vs_The_State_Of_Himachal_Pradesh_on_25_August_2017_1,CONST_1950_Art16,. Will these Rules made under Article 309 of the Constitution stand the test of Article 16 of the Constitution to which Article 309 is subject to? 24) It was pointed out 
sc_2017_Raj_Kumar_Bhatia_vs_Subhash_Chander_Bhatia_on_15_December_2017_1,CONST_1950_Art227,"dated 11 April 2016. On 3 June 2016, the respondent filed a writ petition under Article 227 of the Constitution. The petition was allowed by the impugned order dated 5 Oct"
sc_2017_Rajagopal_vs_Muthupandi_Thavakkalai_Ors_on_28_February_2017_1,CONST_1950_Art136," since the High Court's view was a possible view, we should not interfere under Article 136 of the Constitution. 5) Having heard the learned counsel for both the parties, "
sc_2017_Rajkishore_Purohit_vs_The_State_Of_Madhya_Pradesh_on_1_August_2017_1,CONST_1950_Art136," crime.” 14. Though this Court, in exercise of discretionary jurisdiction under Article 136 of the Constitution, may not interfere with an order of acquittal, reversing a "
sc_2017_Rakesh_Kumar_Paul_vs_State_Of_Assam_on_16_August_2017_1,CONST_1950_Art167,"ra) has held that the accused must apply for grant of ‘default bail’. As far as Section 167 of the Code is concerned, Explanation I to Section 167 provides that notwithsta"
sc_2017_Rakesh_Kumar_Paul_vs_State_Of_Assam_on_16_August_2017_1,CONST_1950_Art21,". 41. We take this view keeping in mind that in matters of personal liberty and Article 21 of the Constitution, it is not always advisable to be formalistic or technical."
sc_2017_Ram_Chander_Ors_vs_State_Of_Haryana_on_2_January_2017_1,CONST_1950_Art136,it and re-appreciate the entire oral evidence de novo in its jurisdiction under Article 136 of the Constitution unless there are strong and prima facie reasons to do so po
sc_2017_Ram_Kishan_Fauji_vs_State_Of_Haryana_And_Ors_on_21_March_2017_1,CONST_1950_Art226," Visen that the exercise of power of the learned Single Judge is strictly under Article 226 of the Constitution of India and, hence, an intra-court appeal deserved to be e"
sc_2017_Ram_Kishan_Fauji_vs_State_Of_Haryana_And_Ors_on_21_March_2017_1,CONST_1950_Art133, filed by the revenue was incompetent because the High Court had no power under Article 133 of the Constitution to certify a proposed appeal against an order in a proceedi
sc_2017_Ram_Kishan_Fauji_vs_State_Of_Haryana_And_Ors_on_21_March_2017_1,CONST_1950_Art227,"ns, orders and writs to any person or authority including any Government. Under Article 227 every High Court has power of superintendence over all courts and tribunals thr"
sc_2017_Ram_Kishan_Fauji_vs_State_Of_Haryana_And_Ors_on_21_March_2017_1,CONST_1950_Art21,ion of India and another[35] and A.R. Antulay v. R.S. Nayak and another[36] (as Article 21 was also raised as an issue) and came to hold that it would not be advisable to
sc_2017_Ran_Vijay_Singh_vs_State_Of_U_P_on_11_December_2017_1,CONST_1950_Art226,Respondent 1 for the two answers in exercise of powers of judicial review under Article 226 of the Constitution as these are purely academic matters. .....” 30. The law on
sc_2017_Ratanlal_vs_Prahlad_Jat_on_15_September_2017_1,CONST_1950_Art136, as distinguished from the State to invoke the jurisdiction of this Court under Article 136 of the Constitution against a judgment of acquittal by the High Court. It was h
sc_2017_Ratanlal_vs_Prahlad_Jat_on_15_September_2017_1,CONST_1950_Art32,diction. 12. The accused in Arunachalam (supra) had filed a writ petition under Article 32 contending that the Supreme Court has no power to grant special leave to the br
sc_2017_Ratanlal_vs_Prahlad_Jat_on_15_September_2017_1,CONST_1950_Art21, it is reasonable to conclude that the desideratum of fair procedure implied in Article 21 is adequately answered. Though parties promiscuously ‘provoke’ this jurisdictio
sc_2017_Re_Exploi_Of_Chiln_Inj_Orph_In_St_Of_vs_Union_Of_India_Ors_on_5_May_2017_1,CONST_1950_Art39,the State to honour the Directive Principles of State Policy particularly under Article 39(f) of the Constitution by giving opportunities to children to develop in a heal
sc_2017_Re_Exploi_Of_Chiln_Inj_Orph_In_St_Of_vs_Union_Of_India_Ors_on_5_May_2017_1,CONST_1950_Art19," to the Convention on the Rights of the Child (CRC) on the 11th December, 1992. Article 19 of the CRC obligates the State Parties to “take all appropriate legislative, ad"
sc_2017_Re_Exploi_Of_Chiln_Inj_Orph_In_St_Of_vs_Union_Of_India_Ors_on_5_May_2017_1,CONST_1950_Art40,irements of social justice. This understanding would also be in consonance with Article 40 of the CRC which stipulates that the “State Parties shall recognize rights of e
sc_2017_Re_Exploi_Of_Chiln_Inj_Orph_In_St_Of_vs_Union_Of_India_Ors_on_5_May_2017_1,CONST_1950_Art3, institutions as brought out by Ms. Anjali Sinha. Minimum Standards of care 27. Article 3 of the CRC mandates that all actions concerning children undertaken by public o
sc_2017_Re_Exploi_Of_Chiln_Inj_Orph_In_St_Of_vs_Union_Of_India_Ors_on_5_May_2017_1,CONST_1950_Art20,y available option. This submission of the learned Amicus also finds support in Article 20 of the CRC. The Article obligates the State Parties to provide special protecti
sc_2017_Rishabh_Choudhary_vs_Union_Of_India_And_Ors_on_23_January_2017_1,CONST_1950_Art32,677 OF 2016 1. The question for consideration in this writ petition filed under Article 32 of the Constitution concerns the validity of admission granted to the petitione
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art27, is per incuriam as is proponed by the learned senior counsel for the respondents. 27. The Constitution Bench in BALCO has referred to the observations in Braes of D
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art59,"erefore, it was not possible to read such tentative reasons, as final conclusions. 59. Thus, the analysis made in the said case, the two-Judge Bench has opined that "
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art23,stion would be whether Section 9 gets excluded by the ICC Rules of Arbitration. Article 23 of the ICC Rules reads as follows: “Conservatory and interim measures 1. Unless
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art33,art I of the Act was excluded or not. The Court reproduced the relevant part of Article 33 and the clause that dealt with final partial award as to “seat”. It took note o
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art15,"r all other matters, proper law of the contract would be applicable. Relying on Article 15(1), it has been held that the fiscal laws of India cannot be derogated from. Th"
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art32,ions contained in Article 33.12 are not governed by the provisions contained in Article 32.1. It must be emphasised that Article 32.1 has been made subject to the provisi
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art34,"ement, the seat of arbitration was Kuala Lumpur. If the parties wanted to amend Article 34.12, they could have done so only by a written instrument which was required to "
sc_2017_Roger_Shashoua_vs_Mukesh_Sharma_on_4_July_2017_1,CONST_1950_Art142,"e interim directions were also clearly in exercise of extraordinary power under Article 142 of the Constitution and, therefore, it was not possible to read such tentative "
sc_2017_Rohit_Tandon_vs_The_Enforcement_Directorate_on_10_November_2017_1,CONST_1950_Art32,"ave   petitions,   the appellant was advised to also file a writ petition under Article 32 of the Constitution of India to challenge the validity of the provisions   of  "
sc_2017_Rohit_Tandon_vs_The_Enforcement_Directorate_on_10_November_2017_1,CONST_1950_Art21,g h t  o f  t h e  P e t i t i o n e r  g u a r a n t e e d and protected under Article 21 of the Constitution of India; ( i v )  I s s u e  a  w r i t  o f  m a n d a m 
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art5," on 11.08.2016 approved the same for the year 2016-17 imposing certain conditions. 5. At this juncture, it is necessary to state in what circumstances the Oversight"
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art34,"ment in Kanachur Islamic Education Trust (R) (supra) has to rest on its own facts. 34. Having said that, it is necessary to scrutinise the explanation offered by the"
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art142,"e matter at the earliest. At the same time, however, in exercise of power under Article 142, the Court constituted the Oversight Committee to oversee the functioning of th"
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art14,"According to Mr. Sinha, concept of negative equality is not within the ambit of Article 14 of the Constitution of India and, in any case, this Court has issued notice to "
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art141,"hanwanti Devi and others 11 , while adverting to the concept of precedent under Article 141 of the Constitution, has opined thus:- “Before adverting to and considering whe"
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art32,while determining the controversy in exercise of power of judicial review under Article 32 of the Constitution. The principle of judicial review by the constitutional cou
sc_2017_Royal_Medical_Trust_vs_Union_Of_India_on_12_September_2017_1,CONST_1950_Art226,", can be equated with the power of appeal, for while exercising the power under Article 226 or 32 of the Constitution, the constitutional courts do not exercise such power"
sc_2017_S_Rajaseekaran_vs_Union_Of_India_And_Ors_on_30_November_2017_1,CONST_1950_Art32,"                          JUDGMENT Madan B. Lokur, J. 1. In this petition under Article 32 of the Constitution Dr. S. Rajaseekaran, an orthopaedic surgeon, a public spiri"
sc_2017_Sangita_Vilas_Ingle_vs_State_Of_Maharashtra_Ors_on_6_February_2017_1,CONST_1950_Art226,. As such we are not inclined to invoke extraordinary jurisdiction either under Article 226 of the Constitution of Sangita Vilas Ingle vs State Of Maharashtra & Ors on 6 F
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art25,with the application for transfer under Article 139A(2) of the Constitution and Section 25 of the CPC is as follows:- “1. Every petition under article 139A(2) of the Cons
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art11,"ent. In this context, we have to scan and appreciate the provision contained in Section 11 of the 1984 Act. The provision, as has been stated earlier, mandates the procee"
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art139A,"e Supreme Court Rules, 2013 which deals with the application for transfer under Article 139A(2) of the Constitution and Section 25 of the CPC is as follows:- “1. Every peti"
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art142,"minal trial under Section 302 IPC wherein the Court, in exercise of power under Article 142 of the Constitution, directed shifting of the accused from a jail in Patna to T"
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art15, the State to make special provisions for women and children as enshrined under Article 15(3) of the Constitution and the duty to uphold the dignity of women and the vari
sc_2017_Santhini_vs_Vijaya_Venketesh_on_9_October_2017_1,CONST_1950_Art51,"ly allowed to work as hair-dressers. Referring to various earlier judgments and Article 51-A(e), the Court observed:- “On a condign understanding of clause (e), it is cle"
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art34,inancially support educational institutions established even by non- state actors. 34. Education is one of the most vital elements for preservation of the democratic
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art29,"India chose to refer to “aid out of State funds” to educational institutions in Article 29(2)[17] and “aid to educational institutions” in Article 30(2)[18], is proof of "
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art30,"onal institutions in Article 29(2)[17] and “aid to educational institutions” in Article 30(2)[18], is proof of the fact that the makers of the Constitution took note of t"
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art41, Product is spent in education”[19]. 37. This Court took note of the mandate of Article 41[20] “to illustrate the content of the right to education flowing from Article 2
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art21,rticle 41[20] “to illustrate the content of the right to education flowing from Article 21” and the fact that “the right to free education is available only to children u
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art21A, make an express declaration of the fundamental right to education by inserting Article 21A§. Secretary Mahatama Gandhi Mission & Arn vs Bhartiya Kamgar Sena And Ors on 5 
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art246,er a statute. After the advent of the Constitution by virtue of the power under Article 246 read with Entry 32 of List II of the Seventh Schedule legislative competence to
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art16,ion guarantees equality of opportunity in the matter of public employment under Article 16[30]. Article 309 declares that the appropriate legislature may regulate the rec
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art309,quality of opportunity in the matter of public employment under Article 16[30]. Article 309 declares that the appropriate legislature may regulate the recruitment and cond
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art311,ure in the context of employment under any of the States within Union of India. Article 311 stipulates that no civil servant employed either by the Government of India or 
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art14," State, either statutory or non-statutory, is also subject to the discipline of Article 14 of which Article 16 is only a facet. This Court in innumerable cases held that "
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art38,the State Government would be a dereliction of the Constitutional mandate under Article 38[33] and Article 39(d)[34] and violative of Article 14 on the ground that the la
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art39,t would be a dereliction of the Constitutional mandate under Article 38[33] and Article 39(d)[34] and violative of Article 14 on the ground that the law is ‘under inclusi
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art162,n means a decision taken either in exercise of the authority of the State under Article 162 of the Constitution of India or in exercise of the authority under some statuto
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art43,"y- scales is obviously to comply with the constitutional mandate emanating from Article 43 of the Constitution of India. If that is the object, we fail to understand the "
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art371,") of making provision for the instruction of students,….. [28] Exceptions being Article 371 E “371E. Establishment of Central University in Andhra Pradesh - Parliament may"
sc_2017_Secretary_Mahatama_Gandhi_Mission_Arn_vs_Bhartiya_Kamgar_Sena_And_Ors_on_5_January_2017_1,CONST_1950_Art371E,University and the Delhi University; the University established in pursuance of article 371E; any other institution declared by Parliament by law to be an institution of na
sc_2017_Secretary_To_Gov_Comm_vs_A_Singamuthu_on_7_March_2017_1,CONST_1950_Art226,"ant in the context of these appeals: (i) High Courts, in exercising power under Article 226 of the Constitution will not issue directions for regularization, absorption or"
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art110,ution of the tribunal then the bar of limitation provided in sub-section (3) of Section 110-A on its face was attracted. This difficulty of limitation led most of the High
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art20,"od reason against it.” He says that there is a good reason if the principles of Art. 20 are borne in mind. In our opinion, there is force in the contention of the lear"
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art227,sing its administrative power of superintendence which is available to it under Article 227 of the Constitution of India. While repelling the objection to the exercise of 
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art142,"The third reason related to the power of transfer available to this Court under Article 142 of the Constitution. In this context, reference was made to a Constitution Benc"
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art14,"trary to the statutory law and (as held in a later part in Antulay) contrary to Article 14 and Article 19 of the Constitution, the order of transfer was liable to be set "
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art19,"atutory law and (as held in a later part in Antulay) contrary to Article 14 and Article 19 of the Constitution, the order of transfer was liable to be set aside. In this "
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art182,"Rama Nadar and Others AIR 1937 Mad 385, had to decide whether with reference to Article 182(2) of the Limitation Act 1908, the term “appeal” was used in a restrictive sens"
sc_2017_Securities_And_Exchange_Board_Of_India_vs_Classic_Credit_Ltd_on_21_August_2017_1,CONST_1950_Art226,"o petitions presented, respectively, by the respondent in the two appeals under Art. 226 of the Constitution praying for writs of certiorari to quash two criminal proce"
sc_2017_Sedco_Forex_International_Inc_Thr_Its_vs_Commissioner_Of_Income_Tax_Meerut_on_30_October_2017_1,CONST_1950_Art7," India and, therefore, this mobilization fee was not taxable at all, in view of Article 7 of Double Taxation Avoidance Agreement (DTAA) between India and France, the rel"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art36,"cordingly sought intervention, for grave injustice practiced against Muslim wives. 36.     Mr. Amit Singh Chadha, learned senior counsel, then placed reliance on the"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art2,"posed for consideration is, whether this Court should accept “rule of decision” under Section 2 of the Shariat Act – as “laws in force” within the meaning of Article 13 of the"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art116,"e High Court      held that the action of the Government was justified and that Section      116, which guaranteed freedom of religion under the Australian      Constitution, w"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art93," that matter, constitutional morality propounded at the behest of the petitioners. 93.     Learned senior counsel reiterated, that judicial intereference in the matt"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art98,"e of ‘talaq-e-biddat’ was not liable to be set aside, on any of the above grounds. 98.     While supplementing the contentions noticed in the preceding paragraph, it"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art25,"‘talaq-e-biddat’, violate the parameters 158-165                   expressed in Article 25 of the Constitution?          VII.     Constitutional morality and ‘talaq-e-bid"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art32,"y the petitioner-wife under                                                  11 Article 32 of the Constitution of India, is not maintainable, as the questions raised in t"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art49,"ode of Family Law 1984         Law No.84-11 of 1984 as amended in 2005         “Article 49. Divorce cannot be established except by a judgment of      the court, preceded"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art1,sonal Status 1929         Law 25 of 1929 as amended by Law 100 of 1985         “Article 1. A Talaq pronounced under the effect of intoxication or compulsion shall not be
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art3," no effect if it is used as an inducement to do some act or to abstain from it. Article 3. A Talaq accompanied by a number, expressly or impliedly,    shall not be effec"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art4,"y or impliedly,    shall not be effective except as a single revocable divorce. Article 4. Symbolic expressions of talaq, i.e., words which may or may not bear the impli"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art35,sonal Status 1959         Law 188 of 1959 as amended by Law 90 of 1987         “Article 35.     No divorce shall be effective when pronounced by the        persons mentio
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art37,"       wife.”                          xxx                      xxx         xxx Article 37. (1) Where a Talaq is coupled with a number, express or       implied, not more"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art39,"        that.                          xxx                      xxx         xxx Article 39. (1) When a person intends to divorce his wife, he shall institute a suit in th"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art88,"lation:          Code of Personal Status 1976          Law 61 of 1976          “Article 88. (1) Talaq shall not be effective if pronounced under          intoxication,   "
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art90,"understand what he is saying.                   xxx                     xxx xxx Article 90. A divorce coupled with a number, expressly or impliedly,     as also a divorce"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art94,"le divorce.                           xxx                      xxx          xxx Article 94. Every divorce shall be revocable except the final third, one before      consu"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art102,ace:           Code of Personal Status 1984           Law 51 of 1984           “Article 102. Talaq may be effected by major and sane men acting by their free will and unde
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art109,"ffecting his speech and action.                  xxx                    xxx xxx Article 109. If a Talaq is pronounced with a number (two, three) by words, signs or writing"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art104,tion:           Family Rights Law 1962           Law of 16 July 1962           “Article 104. A divorce by a drunk person shall have no effect. Article 105. A divorce prono
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art105, 1962           “Article 104. A divorce by a drunk person shall have no effect. Article 105. A divorce pronounced under coercion shall have no         effect.” (vii) Libya
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art28,   Family Law 1984         Law 10 of 1984 as amended by Law 15 of 1984         “Article 28. Divorce is termination of the marriage bond. No divorce         will become ef
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art30,e except by a decree of a competent       court and subject to the provision of Article 30. Article 29. Divorce is of two kinds – revocable and irrevocable.     Revocable
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art29,a decree of a competent       court and subject to the provision of Article 30. Article 29. Divorce is of two kinds – revocable and irrevocable.     Revocable divorce doe
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art31,"one for a consideration, and     those specified in this law to be irrevocable. Article 31. A divorce shall be effective only if pronounced in clear      words showing in"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art33,"no clear intention to dissolve the        marriage, shall have no legal effect. Article 33. (1) A divorce meant to be effect on some action or        omission of the wife"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art47,econcile them.                          xxx                     xxx         xxx Article 47. A divorce must be pronounced in a court and in the       presence of the other
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art79,g legislation:          Code of Personal Status 2004          Law 70.03 of 2004 Article 79. Whoever divorces his wife by Talaq must petition the court       for permissio
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art80,"ome is situate, or where the wife resides, or where the    marriage took place. Article 80. The petition will mention the identity of spouses, their professions, addresse"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art81,t and a document stating the husband’s social status and financial obligations. Article 81. The court shall summon the spouses and attempt           reconciliation.     I
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art82,"en a wrong address for the wife, he may be prosecuted at her          instance. Article 82. The court will hear the parties and their witnesses in      camera and take al"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art83,"rty days. If reconciliation takes place, a report will be filed with the court. Article 83. If reconciliation attempts fail, the court shall fix an amount to be deposited"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art92,"on or provocation.                   xxx               xxx              xxx xxx Article 92. Multiple expressions of divorce, oral or written, shall have        the effect"
sc_2017_Shayara_Bano_vs_Union_Of_India_And_Ors_Ministry_Of_Women_on_22_August_2017_1,CONST_1950_Art123,"a single divorce only.                   xxx               xxx              xxx Article 123. Every divorce pronounced by the husband shall be          revocable, except a "
